no,width,height,area
160,201,129,25929
161,201,663,133263
162,267,450,120150
163,672,595,399840
164,451,250,112750
165,184,506,93104
166,322,465,149730
167,946,369,349074
168,474,615,291510
169,45,918,41310
170,100,425,42500
171,250,109,27250
172,532,807,429324
173,663,974,645762
174,156,207,32292
175,679,779,528941
176,102,359,36618
177,164,84,13776
178,867,971,841857
179,494,446,220324
180,614,397,243758
181,6,983,5898
182,750,395,296250
183,956,422,403432
184,398,122,48556
185,919,638,586322
186,583,695,405185
187,559,227,126893
188,450,153,68850
189,377,38,14326
190,55,193,10615
191,832,356,296192
192,339,748,253572
193,274,732,200568
194,253,88,22264
195,118,230,27140
196,374,479,179146
197,599,909,544491
198,478,420,200760
199,870,139,120930
200,181,59,10679
201,119,592,70448
202,291,729,212139
203,251,197,49447
204,266,727,193382
205,859,21,18039
206,781,978,763818
207,743,970,720710
208,830,671,556930
209,491,834,409494
210,93,272,25296
211,776,31,24056
212,172,775,133300
213,712,957,681384
214,659,826,544334
215,307,310,95170
216,731,452,330412
217,24,68,1632
218,778,524,407672
219,740,731,540940
220,132,439,57948
221,729,398,290142
222,718,5,3590
223,565,253,142945
224,192,446,85632
225,73,37,2701
226,585,208,121680
227,10,222,2220
228,717,300,215100
229,190,899,170810
230,948,262,248376
231,570,587,334590
232,994,941,935354
233,192,895,171840
234,267,98,26166
235,145,855,123975
236,271,112,30352
237,449,776,348424
238,565,132,74580
239,269,67,18023
240,829,949,786721
241,399,491,195909
242,745,570,424650
243,382,119,45458
244,501,684,342684
245,840,625,525000
246,784,576,451584
247,518,769,398342
248,169,171,28899
249,339,315,106785
250,45,814,36630
251,780,390,304200
252,529,976,516304
253,915,3,2745
254,197,980,193060
255,86,56,4816
256,303,46,13938
257,856,289,247384
258,56,745,41720
259,456,752,342912
260,725,325,235625
261,264,240,63360
262,816,15,12240
263,598,492,294216
264,857,888,761016
265,272,281,76432
266,472,641,302552
267,888,946,840048
268,278,287,79786
269,611,94,57434
270,498,92,45816
271,864,219,189216
272,335,709,237515
273,537,206,110622
274,645,555,357975
275,325,110,35750
276,194,640,124160
277,600,629,377400
278,838,216,181008
279,616,262,161392
280,291,148,43068
281,567,843,477981
282,693,422,292446
283,837,435,364095
284,559,3,1677
285,809,323,261307
286,784,924,724416
287,760,133,101080
288,269,609,163821
289,786,951,747486
290,529,646,341734
291,172,999,171828
292,735,231,169785
293,902,669,603438
294,598,962,575276
295,893,621,554553
296,390,237,92430
297,29,20,580
298,863,997,860411
299,654,487,318498
300,142,202,28684
301,612,997,610164
302,290,954,276660
303,166,572,94952
304,991,582,576762
305,538,475,255550
306,882,658,580356
307,465,342,159030
308,836,946,790856
309,689,860,592540
310,191,913,174383
311,830,350,290500
312,82,596,48872
313,471,715,336765
314,650,71,46150
315,546,570,311220
316,161,168,27048
317,656,18,11808
318,993,397,394221
319,942,723,681066
320,730,859,627070
321,519,969,502911
322,484,523,253132
323,885,729,645165
324,755,839,633445
325,39,547,21333
326,773,336,259728
327,567,351,199017
328,630,732,461160
329,25,122,3050
330,526,544,286144
331,907,890,807230
332,953,23,21919
333,518,705,365190
334,81,99,8019
335,275,527,144925
336,334,593,198062
337,180,685,123300
338,32,527,16864
339,337,349,117613
340,69,13,897
341,485,540,261900
342,982,149,146318
343,92,919,84548
344,248,230,57040
345,53,342,18126
346,531,941,499671
347,721,168,121128
348,373,102,38046
349,509,64,32576
350,299,457,136643
351,212,761,161332
352,806,764,615784
353,877,696,610392
354,270,455,122850
355,111,903,100233
356,102,855,87210
357,359,450,161550
358,225,328,73800
359,424,474,200976
360,336,563,189168
361,334,174,58116
362,432,766,330912
363,398,449,178702
364,105,91,9555
365,894,102,91188
366,519,916,475404
367,170,137,23290
368,300,873,261900
369,547,406,222082
370,403,272,109616
371,193,855,165015
372,570,651,371070
373,184,783,144072
374,703,2,1406
375,808,979,791032
376,672,125,84000
377,11,996,10956
378,913,533,486629
379,443,688,304784
380,241,757,182437
381,134,119,15946
382,214,946,202444
383,595,227,135065
384,283,9,2547
385,245,937,229565
386,177,3,531
387,578,418,241604
388,593,186,110298
389,756,664,501984
390,63,88,5544
391,248,326,80848
392,256,962,246272
393,341,424,144584
394,561,543,304623
395,984,144,141696
396,74,62,4588
397,198,723,143154
398,795,175,139125
399,353,29,10237
400,421,85,35785
401,135,599,80865
402,462,562,259644
403,210,897,188370
404,106,719,76214
405,731,19,13889
406,51,64,3264
407,677,715,484055
408,7,191,1337
409,885,926,819510
410,187,4,748
411,44,625,27500
412,521,312,162552
413,872,21,18312
414,475,904,429400
415,911,602,548422
416,897,722,647634
417,808,676,546208
418,767,989,758563
419,13,476,6188
420,844,287,242228
421,859,123,105657
422,829,841,697189
423,314,415,130310
424,717,703,504051
425,48,793,38064
426,485,449,217765
427,518,722,373996
428,834,898,748932
429,246,668,164328
430,666,530,352980
431,122,287,35014
432,527,306,161262
433,603,783,472149
434,136,904,122944
435,61,261,15921
436,565,615,347475
437,187,152,28424
438,68,682,46376
439,827,976,807152
440,481,477,229437
441,338,906,306228
442,959,880,843920
443,481,235,113035
444,334,611,204074
445,475,411,195225
446,49,257,12593
447,917,392,359464
448,883,535,472405
449,855,784,670320
450,347,278,96466
451,243,808,196344
452,143,226,32318
453,537,408,219096
454,428,157,67196
455,498,660,328680
456,90,825,74250
457,677,586,396722
458,696,118,82128
459,219,961,210459
460,869,179,155551
461,925,902,834350
462,906,861,780066
463,783,345,270135
464,587,31,18197
465,757,421,318697
466,720,16,11520
467,982,673,660886
468,591,808,477528
469,367,558,204786
470,210,29,6090
471,105,52,5460
472,246,820,201720
473,128,210,26880
474,454,292,132568
475,226,547,123622
476,59,516,30444
477,311,829,257819
478,936,316,295776
479,104,986,102544
480,282,273,76986
481,177,974,172398
482,413,971,401023
483,790,153,120870
484,544,898,488512
485,487,575,280025
486,940,943,886420
487,456,40,18240
488,404,110,44440
489,309,976,301584
490,318,462,146916
491,882,132,116424
492,600,795,477000
493,856,639,546984
494,840,409,343560
495,538,546,293748
496,234,699,163566
497,33,350,11550
498,109,593,64637
499,975,763,743925
500,914,24,21936
