no,width,height,area
160,201,129,25929
161,201,663,133263
162,267,450,120150
163,672,595,399840
164,451,250,112750
165,184,506,93104
166,322,465,149730
167,946,369,349074
168,474,615,291510
169,45,918,41310
170,100,425,42500
171,250,109,27250
172,532,807,429324
173,663,974,645762
174,156,207,32292
175,679,779,528941
176,102,359,36618
177,164,84,13776
178,867,971,841857
179,494,446,220324
180,614,397,243758
181,6,983,5898
182,750,395,296250
183,956,422,403432
184,398,122,48556
185,919,638,586322
186,583,695,405185
187,559,227,126893
188,450,153,68850
189,377,38,14326
190,55,193,10615
191,832,356,296192
192,339,748,253572
193,274,732,200568
194,253,88,22264
195,118,230,27140
196,374,479,179146
197,599,909,544491
198,478,420,200760
199,870,139,120930
200,181,59,10679
201,119,592,70448
202,291,729,212139
203,251,197,49447
204,266,727,193382
205,859,21,18039
206,781,978,763818
207,743,970,720710
208,830,671,556930
209,491,834,409494
210,93,272,25296
211,776,31,24056
212,172,775,133300
213,712,957,681384
214,659,826,544334
215,307,310,95170
216,731,452,330412
217,24,68,1632
218,778,524,407672
219,740,731,540940
220,132,439,57948
221,729,398,290142
222,718,5,3590
223,565,253,142945
224,192,446,85632
225,73,37,2701
226,585,208,121680
227,10,222,2220
228,717,300,215100
229,190,899,170810
230,948,262,248376
231,570,587,334590
232,994,941,935354
233,192,895,171840
234,267,98,26166
235,145,855,123975
236,271,112,30352
237,449,776,348424
238,565,132,74580
239,269,67,18023
240,829,949,786721
241,399,491,195909
242,745,570,424650
243,382,119,45458
244,501,684,342684
245,840,625,525000
246,784,576,451584
247,518,769,398342
248,169,171,28899
249,339,315,106785
250,45,814,36630
251,780,390,304200
252,529,976,516304
253,915,3,2745
254,197,980,193060
255,86,56,4816
256,303,46,13938
257,856,289,247384
258,56,745,41720
259,456,752,342912
260,725,325,235625
261,264,240,63360
262,816,15,12240
263,598,492,294216
264,857,888,761016
265,272,281,76432
266,472,641,302552
267,888,946,840048
268,278,287,79786
269,611,94,57434
270,498,92,45816
271,864,219,189216
272,335,709,237515
273,537,206,110622
274,645,555,357975
275,325,110,35750
276,194,640,124160
277,600,629,377400
278,838,216,181008
279,616,262,161392
280,291,148,43068
281,567,843,477981
282,693,422,292446
283,837,435,364095
284,559,3,1677
285,809,323,261307
286,784,924,724416
287,760,133,101080
288,269,609,163821
289,786,951,747486
290,529,646,341734
291,172,999,171828
292,735,231,169785
293,902,669,603438
294,598,962,575276
295,893,621,554553
296,390,237,92430
297,29,20,580
298,863,997,860411
299,654,487,318498
300,142,202,28684
301,612,997,610164
302,290,954,276660
303,166,572,94952
304,991,582,576762
305,538,475,255550
306,882,658,580356
307,465,342,159030
308,836,946,790856
309,689,860,592540
310,191,913,174383
311,830,350,290500
312,82,596,48872
313,471,715,336765
314,650,71,46150
315,546,570,311220
316,161,168,27048
317,656,18,11808
318,993,397,394221
319,942,723,681066
320,730,859,627070
321,519,969,502911
322,484,523,253132
323,885,729,645165
324,755,839,633445
325,39,547,21333
326,773,336,259728
327,567,351,199017
328,630,732,461160
329,25,122,3050
330,526,544,286144
331,907,890,807230
332,953,23,21919
333,518,705,365190
334,81,99,8019
335,275,527,144925
336,334,593,198062
337,180,685,123300
338,32,527,16864
339,337,349,117613
340,69,13,897
341,485,540,261900
342,982,149,146318
343,92,919,84548
344,248,230,57040
345,53,342,18126
346,531,941,499671
347,721,168,121128
348,373,102,38046
349,509,64,32576
350,299,457,136643
351,212,761,161332
352,806,764,615784
353,877,696,610392
354,270,455,122850
355,111,903,100233
356,102,855,87210
357,359,450,161550
358,225,328,73800
359,424,474,200976
360,336,563,189168
361,334,174,58116
362,432,766,330912
363,398,449,178702
364,105,91,9555
365,894,102,91188
366,519,916,475404
367,170,137,23290
368,300,873,261900
369,547,406,222082
370,403,272,109616
371,193,855,165015
372,570,651,371070
373,184,783,144072
374,703,2,1406
375,808,979,791032
376,672,125,84000
377,11,996,10956
378,913,533,486629
379,443,688,304784
380,241,757,182437
381,134,119,15946
382,214,946,202444
383,595,227,135065
384,283,9,2547
385,245,937,229565
386,177,3,531
387,578,418,241604
388,593,186,110298
389,756,664,501984
390,63,88,5544
391,248,326,80848
392,256,962,246272
393,341,424,144584
394,561,543,304623
395,984,144,141696
396,74,62,4588
397,198,723,143154
398,795,175,139125
399,353,29,10237
400,421,85,35785
401,135,599,80865
402,462,562,259644
403,210,897,188370
404,106,719,76214
405,731,19,13889
406,51,64,3264
407,677,715,484055
408,7,191,1337
409,885,926,819510
410,187,4,748
411,44,625,27500
412,521,312,162552
413,872,21,18312
414,475,904,429400
415,911,602,548422
416,897,722,647634
417,808,676,546208
418,767,989,758563
419,13,476,6188
420,844,287,242228
421,859,123,105657
422,829,841,697189
423,314,415,130310
424,717,703,504051
425,48,793,38064
426,485,449,217765
427,518,722,373996
428,834,898,748932
429,246,668,164328
430,666,530,352980
431,122,287,35014
432,527,306,161262
433,603,783,472149
434,136,904,122944
435,61,261,15921
436,565,615,347475
437,187,152,28424
438,68,682,46376
439,827,976,807152
440,481,477,229437
441,338,906,306228
442,959,880,843920
443,481,235,113035
444,334,611,204074
445,475,411,195225
446,49,257,12593
447,917,392,359464
448,883,535,472405
449,855,784,670320
450,347,278,96466
451,243,808,196344
452,143,226,32318
453,537,408,219096
454,428,157,67196
455,498,660,328680
456,90,825,74250
457,677,586,396722
458,696,118,82128
459,219,961,210459
460,869,179,155551
461,925,902,834350
462,906,861,780066
463,783,345,270135
464,587,31,18197
465,757,421,318697
466,720,16,11520
467,982,673,660886
468,591,808,477528
469,367,558,204786
470,210,29,6090
471,105,52,5460
472,246,820,201720
473,128,210,26880
474,454,292,132568
475,226,547,123622
476,59,516,30444
477,311,829,257819
478,936,316,295776
479,104,986,102544
480,282,273,76986
481,177,974,172398
482,413,971,401023
483,790,153,120870
484,544,898,488512
485,487,575,280025
486,940,943,886420
487,456,40,18240
488,404,110,44440
489,309,976,301584
490,318,462,146916
491,882,132,116424
492,600,795,477000
493,856,639,546984
494,840,409,343560
495,538,546,293748
496,234,699,163566
497,33,350,11550
498,109,593,64637
499,975,763,743925
500,914,24,21936
501,466,693,322938
502,700,916,641200
503,871,786,684606
504,876,630,551880
505,499,744,371256
506,613,419,256847
507,624,288,179712
508,73,647,47231
509,368,376,138368
510,153,664,101592
511,720,728,524160
512,634,340,215560
513,398,792,315216
514,355,877,311335
515,439,251,110189
516,710,814,577940
517,260,972,252720
518,532,998,530936
519,686,152,104272
520,608,441,268128
521,456,361,164616
522,185,659,121915
523,144,368,52992
524,370,182,67340
525,829,193,159997
526,764,326,249064
527,546,105,57330
528,935,921,861135
529,80,177,14160
530,871,651,567021
531,775,966,748650
532,41,133,5453
533,714,430,307020
534,536,935,501160
535,652,691,450532
536,945,352,332640
537,700,529,370300
538,579,527,305133
539,769,334,256846
540,95,810,76950
541,479,475,227525
542,103,369,38007
543,647,275,177925
544,733,896,656768
545,658,989,650762
546,334,454,151636
547,698,44,30712
548,185,642,118770
549,336,840,282240
550,237,329,77973
551,45,700,31500
552,121,786,95106
553,722,325,234650
554,189,80,15120
555,423,192,81216
556,40,584,23360
557,244,544,132736
558,673,73,49129
559,420,328,137760
560,797,785,625645
561,765,370,283050
562,592,476,281792
563,233,74,17242
564,284,329,93436
565,362,996,360552
566,35,417,14595
567,392,49,19208
568,61,964,58804
569,506,259,131054
570,448,264,118272
571,765,344,263160
572,499,245,122255
573,14,453,6342
574,400,536,214400
575,905,577,522185
576,399,872,347928
577,849,728,618072
578,521,916,477236
579,197,839,165283
580,5,458,2290
581,52,792,41184
582,522,400,208800
583,760,286,217360
584,757,462,349734
585,9,474,4266
586,402,207,83214
587,980,437,428260
588,899,202,181598
589,459,634,291006
590,531,54,28674
591,581,733,425873
592,918,939,862002
593,468,832,389376
594,480,936,449280
595,63,691,43533
596,974,101,98374
597,936,598,559728
598,171,237,40527
599,365,783,285795
600,887,631,559697
601,922,372,342984
602,905,623,563815
603,396,208,82368
604,643,804,516972
605,913,337,307681
606,137,741,101517
607,919,391,359329
608,375,65,24375
609,67,653,43751
610,660,522,344520
611,236,113,26668
612,64,682,43648
613,467,939,438513
614,695,224,155680
615,794,29,23026
616,838,668,559784
617,708,134,94872
618,744,303,225432
619,514,880,452320
620,358,41,14678
621,788,455,358540
622,945,902,852390
623,546,747,407862
624,548,770,421960
625,659,77,50743
626,848,776,658048
627,633,810,512730
628,671,515,345565
629,894,494,441636
630,103,974,100322
631,334,953,318302
632,175,372,65100
633,376,579,217704
634,32,872,27904
635,653,284,185452
636,397,417,165549
637,750,428,321000
638,644,850,547400
639,229,623,142667
640,329,334,109886
641,314,232,72848
642,279,757,211203
643,680,929,631720
644,225,357,80325
645,787,939,738993
646,984,178,175152
647,508,365,185420
648,291,59,17169
649,439,944,414416
650,863,33,28479
651,971,354,343734
652,851,278,236578
653,851,938,798238
654,106,54,5724
655,610,62,37820
656,346,415,143590
657,898,752,675296
658,12,637,7644
659,914,607,554798
660,998,131,130738
661,343,797,273371
662,112,397,44464
663,775,93,72075
664,513,4,2052
665,229,483,110607
666,38,240,9120
667,220,531,116820
668,136,190,25840
669,571,756,431676
670,71,367,26057
671,265,88,23320
672,196,56,10976
673,741,291,215631
674,373,318,118614
675,733,10,7330
676,164,391,64124
677,130,520,67600
678,669,666,445554
679,364,468,170352
680,218,133,28994
681,162,338,54756
682,174,925,160950
683,610,76,46360
684,106,638,67628
685,800,472,377600
686,242,267,64614
687,560,32,17920
688,196,822,161112
689,718,636,456648
690,989,567,560763
691,190,801,152190
692,3,530,1590
693,687,482,331134
694,604,875,528500
695,906,985,892410
696,539,642,346038
697,583,356,207548
698,221,991,219011
699,873,728,635544
700,522,683,356526
701,842,107,90094
702,878,945,829710
703,952,497,473144
704,63,143,9009
705,864,594,513216
706,967,21,20307
707,150,950,142500
708,4,381,1524
709,427,872,372344
710,159,883,140397
711,806,334,269204
712,236,11,2596
713,241,568,136888
714,406,310,125860
715,937,169,158353
716,551,748,412148
717,10,967,9670
718,1000,152,152000
719,47,123,5781
720,487,359,174833
721,812,60,48720
722,322,833,268226
723,459,257,117963
724,1000,467,467000
725,900,818,736200
726,537,182,97734
727,561,656,368016
728,447,685,306195
729,745,784,584080
730,10,337,3370
731,858,33,28314
732,441,859,378819
733,955,938,895790
734,515,394,202910
735,133,282,37506
736,459,327,150093
737,660,601,396660
738,727,482,350414
739,218,519,113142
740,307,530,162710
741,265,910,241150
742,243,242,58806
743,724,403,291772
744,197,939,184983
745,396,794,314424
746,413,398,164374
747,693,524,363132
748,280,263,73640
749,329,215,70735
750,987,81,79947
751,985,250,246250
752,522,573,299106
753,146,660,96360
754,183,791,144753
755,205,859,176095
756,95,378,35910
757,377,76,28652
758,641,211,135251
759,959,647,620473
760,509,51,25959
761,870,828,720360
762,341,909,309969
763,112,774,86688
764,567,2,1134
765,622,466,289852
766,75,652,48900
767,766,328,251248
768,152,807,122664
769,766,201,153966
770,170,182,30940
771,348,139,48372
772,304,411,124944
773,284,549,155916
774,591,523,309093
775,210,936,196560
776,863,960,828480
777,687,343,235641
778,300,816,244800
779,611,853,521183
780,327,292,95484
781,711,851,605061
782,265,926,245390
783,173,940,162620
784,349,566,197534
785,929,60,55740
786,674,595,401030
787,1,109,109
788,310,169,52390
789,344,54,18576
790,404,549,221796
791,579,270,156330
792,834,223,185982
793,26,513,13338
794,822,19,15618
795,709,111,78699
796,228,842,191976
797,824,938,772912
798,726,145,105270
799,24,114,2736
800,520,491,255320
801,553,164,90692
802,556,399,221844
803,688,362,249056
804,308,460,141680
805,60,427,25620
806,383,473,181159
807,452,658,297416
808,743,423,314289
809,90,879,79110
810,652,17,11084
811,470,142,66740
812,643,221,142103
813,991,972,963252
814,619,698,432062
815,403,316,127348
816,403,166,66898
817,663,45,29835
818,386,590,227740
819,306,555,169830
820,231,321,74151
821,516,14,7224
822,612,759,464508
823,144,230,33120
824,869,550,477950
825,672,911,612192
826,532,14,7448
827,131,949,124319
828,120,777,93240
829,517,311,160787
830,776,63,48888
831,601,431,259031
832,602,594,357588
833,833,517,430661
834,954,153,145962
835,44,879,38676
836,436,888,387168
837,573,503,288219
838,293,108,31644
839,381,335,127635
840,319,125,39875
841,836,487,407132
842,798,403,321594
843,907,537,487059
844,661,145,95845
845,31,712,22072
846,694,894,620436
847,858,593,508794
848,586,245,143570
849,328,73,23944
850,800,764,611200
851,6,857,5142
852,520,24,12480
853,0,34,0
854,81,350,28350
855,399,56,22344
856,641,648,415368
857,976,409,399184
858,969,12,11628
859,778,289,224842
860,120,407,48840
861,323,352,113696
862,637,887,565019
863,75,76,5700
864,102,254,25908
865,778,133,103474
866,855,633,541215
867,609,38,23142
868,599,331,198269
869,320,608,194560
870,814,858,698412
871,420,950,399000
872,862,802,691324
873,347,743,257821
874,253,815,206195
875,666,564,375624
876,22,58,1276
877,469,52,24388
878,731,105,76755
879,173,859,148607
880,812,253,205436
881,467,479,223693
882,320,315,100800
883,991,450,445950
884,447,18,8046
885,44,41,1804
886,950,875,831250
887,874,166,145084
888,969,368,356592
889,264,110,29040
890,256,308,78848
891,985,988,973180
892,607,89,54023
893,349,658,229642
894,364,491,178724
895,106,135,14310
896,391,361,141151
897,837,931,779247
898,543,943,512049
899,826,164,135464
900,205,59,12095
901,758,95,72010
902,638,461,294118
903,325,490,159250
904,251,316,79316
905,881,777,684537
906,320,60,19200
907,646,5,3230
908,227,244,55388
909,18,416,7488
910,568,4,2272
911,35,647,22645
912,376,29,10904
913,273,373,101829
914,201,947,190347
915,333,111,36963
916,419,655,274445
917,422,554,233788
918,868,428,371504
919,971,20,19420
920,267,832,222144
921,300,214,64200
922,593,713,422809
923,47,347,16309
924,824,255,210120
925,193,126,24318
926,141,917,129297
927,804,284,228336
928,770,809,622930
929,240,799,191760
930,350,151,52850
931,429,188,80652
932,127,143,18161
933,706,43,30358
934,859,760,652840
935,101,260,26260
936,71,556,39476
937,659,790,520610
938,804,83,66732
939,207,317,65619
940,647,317,205099
941,755,208,157040
942,369,125,46125
943,989,949,938561
944,554,786,435444
945,163,145,23635
946,232,522,121104
947,1,22,22
948,463,1,463
949,987,69,68103
950,94,417,39198
951,825,373,307725
952,639,499,318861
953,838,653,547214
954,316,878,277448
955,508,684,347472
956,575,862,495650
957,805,601,483805
958,691,873,603243
959,984,543,534312
960,723,407,294261
961,665,962,639730
962,390,580,226200
963,560,980,548800
964,315,267,84105
965,813,957,778041
966,568,22,12496
967,3,703,2109
968,192,512,98304
969,609,229,139461
970,570,296,168720
971,776,802,622352
972,770,662,509740
973,956,691,660596
974,849,793,673257
975,84,199,16716
976,342,369,126198
977,972,254,246888
978,779,217,169043
979,645,437,281865
980,412,657,270684
981,815,198,161370
982,744,920,684480
983,400,984,393600
984,515,349,179735
985,377,25,9425
986,466,94,43804
987,288,446,128448
988,189,244,46116
989,897,626,561522
990,318,614,195252
991,134,224,30016
992,869,121,105149
993,418,458,191444
994,773,922,712706
995,474,634,300516
996,720,127,91440
997,494,64,31616
998,821,139,114119
999,738,305,225090
1000,257,998,256486
1001,362,53,19186
1002,453,443,200679
1003,984,237,233208
1004,686,103,70658
1005,246,823,202458
1006,470,646,303620
1007,912,571,520752
1008,942,669,630198
1009,737,179,131923
1010,627,58,36366
1011,522,841,439002
1012,429,834,357786
1013,729,379,276291
1014,656,515,337840
1015,295,16,4720
1016,383,213,81579
1017,164,56,9184
1018,891,775,690525
1019,483,831,401373
1020,727,248,180296
1021,907,29,26303
1022,761,563,428443
1023,420,559,234780
1024,893,268,239324
1025,941,656,617296
1026,122,8,976
1027,177,621,109917
1028,979,385,376915
1029,774,116,89784
1030,198,832,164736
1031,291,367,106797
1032,684,316,216144
1033,934,296,276464
1034,762,646,492252
1035,493,425,209525
1036,67,632,42344
1037,309,438,135342
1038,57,838,47766
1039,731,551,402781
1040,479,111,53169
1041,657,334,219438
1042,248,738,183024
1043,92,862,79304
1044,114,349,39786
1045,701,191,133891
1046,876,721,631596
1047,587,852,500124
1048,544,694,377536
1049,569,545,310105
1050,127,744,94488
1051,212,690,146280
1052,896,656,587776
1053,748,785,587180
1054,533,171,91143
1055,532,915,486780
1056,613,943,578059
1057,493,951,468843
1058,515,311,160165
1059,744,994,739536
1060,388,481,186628
1061,304,768,233472
1062,866,75,64950
1063,34,140,4760
1064,570,719,409830
1065,318,913,290334
1066,218,122,26596
1067,898,467,419366
1068,785,42,32970
1069,364,374,136136
1070,412,675,278100
1071,739,330,243870
1072,889,448,398272
1073,407,270,109890
1074,792,322,255024
1075,686,895,613970
1076,53,555,29415
1077,862,481,414622
1078,868,983,853244
1079,62,306,18972
1080,625,241,150625
1081,788,748,589424
1082,306,380,116280
1083,115,642,73830
1084,705,716,504780
1085,842,843,709806
1086,277,792,219384
1087,774,280,216720
1088,737,575,423775
1089,455,978,444990
1090,278,957,266046
1091,874,699,610926
1092,339,122,41358
1093,69,696,48024
1094,1,20,20
1095,999,220,219780
1096,768,801,615168
1097,191,298,56918
1098,467,536,250312
1099,810,203,164430
1100,785,926,726910
1101,463,711,329193
1102,6,349,2094
1103,439,493,216427
1104,605,821,496705
1105,869,606,526614
1106,443,856,379208
1107,758,613,464654
1108,272,446,121312
1109,35,167,5845
1110,121,814,98494
1111,824,586,482864
1112,553,416,230048
1113,271,777,210567
1114,115,321,36915
1115,571,303,173013
1116,591,409,241719
1117,894,365,326310
1118,966,978,944748
1119,233,592,137936
1120,40,141,5640
1121,904,161,145544
1122,212,393,83316
1123,310,689,213590
1124,71,34,2414
1125,507,369,187083
1126,395,80,31600
1127,4,983,3932
1128,900,60,54000
1129,950,853,810350
1130,154,346,53284
1131,896,355,318080
1132,472,178,84016
1133,657,521,342297
1134,560,728,407680
1135,25,496,12400
1136,394,22,8668
1137,687,757,520059
1138,432,616,266112
1139,715,943,674245
1140,45,420,18900
1141,285,710,202350
1142,87,205,17835
1143,16,231,3696
1144,331,600,198600
1145,376,916,344416
1146,165,693,114345
1147,122,956,116632
1148,788,560,441280
1149,564,450,253800
1150,946,932,881672
1151,247,162,40014
1152,596,382,227672
1153,331,127,42037
1154,63,402,25326
1155,376,247,92872
1156,173,153,26469
1157,737,444,327228
1158,6,559,3354
1159,673,273,183729
1160,106,842,89252
1161,242,341,82522
1162,312,560,174720
1163,348,862,299976
1164,710,702,498420
1165,491,195,95745
1166,443,924,409332
1167,225,346,77850
1168,807,718,579426
1169,243,603,146529
1170,744,461,342984
1171,601,926,556526
1172,711,912,648432
1173,683,499,340817
1174,783,457,357831
1175,426,205,87330
1176,356,196,69776
1177,342,227,77634
1178,690,150,103500
1179,383,848,324784
1180,93,310,28830
1181,38,561,21318
1182,936,534,499824
1183,453,768,347904
1184,599,709,424691
1185,21,776,16296
1186,41,355,14555
1187,997,982,979054
1188,267,110,29370
1189,298,758,225884
1190,396,822,325512
1191,513,466,239058
1192,222,256,56832
1193,384,747,286848
1194,267,136,36312
1195,331,57,18867
1196,962,523,503126
1197,583,537,313071
1198,938,907,850766
1199,414,101,41814
1200,391,119,46529
1201,419,677,283663
1202,8,652,5216
1203,715,840,600600
1204,301,39,11739
1205,799,993,793407
1206,589,188,110732
1207,248,546,135408
1208,59,185,10915
1209,305,331,100955
1210,704,111,78144
1211,885,120,106200
1212,550,375,206250
1213,471,329,154959
1214,470,174,81780
1215,253,801,202653
1216,30,493,14790
1217,71,752,53392
1218,819,980,802620
1219,298,811,241678
1220,891,283,252153
1221,261,222,57942
1222,324,372,120528
1223,857,635,544195
1224,50,988,49400
1225,245,161,39445
1226,864,128,110592
1227,731,417,304827
1228,604,304,183616
1229,234,73,17082
1230,933,241,224853
1231,916,818,749288
1232,553,172,95116
1233,843,433,365019
1234,894,848,758112
1235,930,943,876990
1236,656,992,650752
1237,805,717,577185
1238,38,174,6612
1239,839,626,525214
1240,347,762,264414
1241,764,257,196348
1242,24,582,13968
1243,323,810,261630
1244,912,707,644784
1245,408,921,375768
1246,669,112,74928
1247,825,14,11550
1248,212,237,50244
1249,913,471,430023
1250,131,358,46898
1251,782,837,654534
1252,918,720,660960
1253,754,593,447122
1254,163,502,81826
1255,344,725,249400
1256,978,240,234720
1257,945,395,373275
1258,33,570,18810
1259,764,429,327756
1260,551,328,180728
1261,434,804,348936
1262,755,633,477915
1263,418,465,194370
1264,720,76,54720
1265,798,733,584934
1266,141,35,4935
1267,145,138,20010
1268,114,18,2052
1269,503,413,207739
1270,672,246,165312
1271,650,763,495950
1272,304,780,237120
1273,686,327,224322
1274,323,518,167314
1275,271,19,5149
1276,612,114,69768
1277,423,313,132399
1278,295,382,112690
1279,952,327,311304
1280,608,8,4864
1281,886,218,193148
1282,377,452,170404
1283,387,836,323532
1284,643,345,221835
1285,703,297,208791
1286,73,30,2190
1287,141,238,33558
1288,508,712,361696
1289,803,284,228052
1290,505,741,374205
1291,436,160,69760
1292,970,266,258020
1293,30,400,12000
1294,586,294,172284
1295,955,709,677095
1296,845,707,597415
1297,865,699,604635
1298,833,760,633080
1299,959,866,830494
1300,628,52,32656
1301,372,515,191580
1302,260,824,214240
1303,203,812,164836
1304,190,353,67070
1305,969,590,571710
1306,563,888,499944
1307,674,917,618058
1308,503,344,173032
1309,694,922,639868
1310,497,261,129717
1311,629,436,274244
1312,797,313,249461
1313,551,75,41325
1314,328,699,229272
1315,239,951,227289
1316,20,789,15780
1317,892,499,445108
1318,702,220,154440
1319,974,406,395444
1320,748,15,11220
1321,545,904,492680
1322,942,166,156372
1323,387,891,344817
1324,526,153,80478
1325,884,819,723996
1326,389,164,63796
1327,686,163,111818
1328,792,200,158400
1329,913,640,584320
1330,572,382,218504
1331,64,917,58688
1332,552,901,497352
1333,739,898,663622
1334,952,487,463624
1335,158,355,56090
1336,332,788,261616
1337,441,97,42777
1338,465,315,146475
1339,834,193,160962
1340,207,847,175329
1341,264,675,178200
1342,565,246,138990
1343,171,527,90117
1344,236,763,180068
1345,371,149,55279
1346,753,104,78312
1347,173,969,167637
1348,236,504,118944
1349,788,493,388484
1350,318,282,89676
1351,905,528,477840
1352,280,829,232120
1353,733,751,550483
1354,218,673,146714
1355,943,956,901508
1356,591,568,335688
1357,35,586,20510
1358,857,251,215107
1359,115,227,26105
1360,893,382,341126
1361,454,853,387262
1362,218,219,47742
1363,945,843,796635
1364,645,223,143835
1365,273,703,191919
1366,703,975,685425
1367,149,848,126352
1368,474,387,183438
1369,658,73,48034
1370,878,932,818296
1371,160,859,137440
1372,733,816,598128
1373,259,160,41440
1374,153,425,65025
1375,274,754,206596
1376,239,252,60228
1377,989,551,544939
1378,856,838,717328
1379,308,19,5852
1380,547,337,184339
1381,316,800,252800
1382,163,330,53790
1383,384,274,105216
1384,503,360,181080
1385,854,743,634522
1386,312,720,224640
1387,444,705,313020
1388,912,735,670320
1389,471,520,244920
1390,573,583,334059
1391,212,712,150944
1392,188,404,75952
1393,123,959,117957
1394,991,59,58469
1395,733,177,129741
1396,705,697,491385
1397,110,54,5940
1398,202,811,163822
1399,667,9,6003
1400,146,790,115340
1401,322,118,37996
1402,310,875,271250
1403,910,16,14560
1404,591,147,86877
1405,635,407,258445
1406,145,958,138910
1407,897,434,389298
1408,191,718,137138
1409,415,126,52290
1410,497,745,370265
1411,34,731,24854
1412,372,410,152520
1413,597,604,360588
1414,169,743,125567
1415,863,549,473787
1416,261,667,174087
1417,11,694,7634
1418,432,758,327456
1419,776,784,608384
1420,163,926,150938
1421,342,787,269154
1422,256,733,187648
1423,231,733,169323
1424,474,596,282504
1425,552,575,317400
1426,423,671,283833
1427,312,911,284232
1428,868,472,409696
1429,56,410,22960
1430,812,537,436044
1431,703,265,186295
1432,149,173,25777
1433,44,735,32340
1434,382,573,218886
1435,175,208,36400
1436,894,67,59898
1437,511,785,401135
1438,996,415,413340
1439,762,611,465582
1440,910,691,628810
1441,199,94,18706
1442,817,33,26961
1443,329,735,241815
1444,205,974,199670
1445,737,414,305118
1446,854,302,257908
1447,548,571,312908
1448,546,225,122850
1449,396,485,192060
1450,474,590,279660
1451,920,621,571320
1452,993,141,140013
1453,733,61,44713
1454,566,118,66788
1455,542,24,13008
1456,95,154,14630
1457,905,97,87785
1458,439,714,313446
1459,329,805,264845
1460,641,435,278835
1461,846,472,399312
1462,1000,791,791000
1463,978,927,906606
1464,174,427,74298
1465,386,957,369402
1466,834,459,382806
1467,184,510,93840
1468,367,70,25690
1469,824,125,103000
1470,829,42,34818
1471,950,900,855000
1472,872,383,333976
1473,590,152,89680
1474,638,850,542300
1475,856,233,199448
1476,430,141,60630
1477,105,497,52185
1478,586,189,110754
1479,252,128,32256
1480,402,391,157182
1481,69,776,53544
1482,385,774,297990
1483,697,63,43911
1484,257,817,209969
1485,454,7,3178
1486,208,412,85696
1487,107,829,88703
1488,893,523,467039
1489,325,360,117000
1490,294,540,158760
1491,446,814,363044
1492,568,552,313536
1493,944,696,657024
1494,568,669,379992
1495,666,907,604062
1496,324,777,251748
1497,460,341,156860
1498,352,561,197472
1499,507,715,362505
